id_municipio,uf,municipio,longitude,latitude
1495,MG,Carmo da Cachoeira,-45.220065,-21.463291
1496,MG,Carmo da Mata,-44.8735,-20.557532
1497,MG,Carmo de Minas,-45.13069,-22.120366
1498,MG,Carmo do Cajuru,-44.76643,-20.19117
1499,MG,Carmo do Paranaíba,-46.316735,-18.990952
1500,MG,Carmo do Rio Claro,-46.114925,-20.973609
1494,MG,Carmésia,-43.138248,-19.087718
1501,MG,Carmópolis de Minas,-44.633558,-20.539562
1502,MG,Carneirinho,-50.689441,-19.698701
1503,MG,Carrancas,-44.64457,-21.489765
1505,MG,Carvalhos,-44.463164,-22.000003
1504,MG,Carvalhópolis,-45.842127,-21.773534
1506,MG,Casa Grande,-43.934306,-20.792521
1507,MG,Cascalho Rico,-47.871643,-18.577169
1509,MG,Cataguases,-42.689647,-21.39239
1510,MG,Catas Altas,-43.406115,-20.073403
1511,MG,Catas Altas da Noruega,-43.493876,-20.690073
1512,MG,Catuji,-41.52764,-17.301807
1513,MG,Catuti,-42.962704,-15.361574
1514,MG,Caxambu,-44.931855,-21.975253
1515,MG,Cedro do Abaeté,-45.711994,-19.145767
1516,MG,Central de Minas,-41.314331,-18.761195
1517,MG,Centralina,-49.201397,-18.585217
1519,MG,Chalé,-41.689714,-20.045328
1521,MG,Chapada Gaúcha,-45.611616,-15.301373
1520,MG,Chapada do Norte,-42.539187,-17.088119
1522,MG,Chiador,-43.061671,-21.999572
1518,MG,Chácara,-43.21499,-21.673256
1523,MG,Cipotânea,-43.362904,-20.902598
1524,MG,Claraval,-47.276828,-20.397011
1525,MG,Claro dos Poções,-44.206097,-17.08203
1526,MG,Cláudio,-44.767332,-20.443672
1527,MG,Coimbra,-42.800807,-20.853505
1528,MG,Coluna,-42.835185,-18.23108
1529,MG,Comendador Gomes,-49.078894,-19.697342
1530,MG,Comercinho,-41.794536,-16.296258
1531,MG,Conceição da Aparecida,-46.20491,-21.096024
1532,MG,Conceição da Barra de Minas,-44.472901,-21.131558
1533,MG,Conceição das Alagoas,-48.38394,-19.917155
1534,MG,Conceição das Pedras,-45.456238,-22.157647
1535,MG,Conceição de Ipanema,-41.690756,-19.932584
1536,MG,Conceição do Mato Dentro,-43.422082,-19.03441
1537,MG,Conceição do Pará,-44.894511,-19.745599
1538,MG,Conceição do Rio Verde,-45.08703,-21.877836
1539,MG,Conceição dos Ouros,-45.799599,-22.407845
1541,MG,Confins,-43.993148,-19.628183
1542,MG,Congonhal,-46.043031,-22.148753
1543,MG,Congonhas,-43.851012,-20.495844
1544,MG,Congonhas do Norte,-43.67672,-18.802053
1545,MG,Conquista,-47.549196,-19.931182
1546,MG,Conselheiro Lafaiete,-43.784609,-20.663445
1547,MG,Conselheiro Pena,-41.473554,-19.178914
1548,MG,Consolação,-45.925459,-22.54929
1549,MG,Contagem,-44.05392,-19.932079
1550,MG,Coqueiral,-45.436568,-21.185757
1551,MG,Coração de Jesus,-44.363517,-16.684067
1552,MG,Cordisburgo,-44.322415,-19.122393
